,y,x,Oblast,ADMIN_2,ADMIN_3,type_tg,type_np,Settlement,Address,zaryad,type,new_id,pidzariadk,primitka
2025,49.74876589,27.18830747,Хмельницька, , , ,місто,Старокостянтинів,вул. Попова 18,так,Магазин,c304eff7,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2026,50.28920872,26.88033622,Хмельницька, , , ,місто,Славута,вул. Ярослава Мудрого 66,так,Магазин,2a8a9a7b,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2027,49.26261636,23.86844118,Львівська, , , ,місто,Стрий,вул. Олега Ольжича 18,так,Магазин,d90412e4,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2028,50.9190566,34.8344864,Сумська, , , ,місто,Суми,вул. Героїв Крут 1/3,так,Магазин,6336306a,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2029,49.57225152,25.60231149,Тернопільська, , , ,місто,Тернопіль,вул. Поліська 7,так,Магазин,b74f0637,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2030,49.2379229,28.3965847,Вінницька,Вінницький р-н, , ,село,Зарванці,7/1Хмельницьке шосе 1а,так,Магазин,2d9ffe55,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2031,49.2433012,28.5104233,Вінницька, , , ,місто,Вінниця,вул. Батозька 1в,так,Магазин,8dc84b40,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2032,47.81882724,35.15424685,Запорізька, , , ,місто,Запоріжжя,вул. Запорізька 1В,так,Магазин,3c38e8f8,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2033,47.8339875,35.0056719,Запорізька, , , ,село,Нове Запоріжжя,Нікопольське шосе 1-Е,так,Магазин,e1f2479c,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2034,47.78925944,35.23817771,Запорізька, , , ,місто,Запоріжжя,Оріхівське шосе 27,так,Магазин,476a9f31,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2035,50.35241982,30.43336818,Київська,Фастівський р-н, , ,селище міського типу,Чабани,Одеське шосе 8,так,Магазин,2d879a2e,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2036,50.522672,30.606083,Київська, , , ,місто,Київ,вул. Бальзака 65/1,так,Магазин,1ce7e48e,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2037,46.50582216,30.62915482,Одеська, , , ,місто,Одеса,"
Київське шосе 8/2",так,Магазин,a4b2f28c,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2038,46.61621612,30.82809459,Одеська, , , ,місто,"
Одеса","вул. Новомиколаївська
дорога 3-й км",так,Магазин,a27559ab,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2039,49.80909185,23.9777, Львівська, , , ,місто,Львів,вул. Щирецька буд 7,так,Магазин,c5d53c62,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2040,50.748425,25.310939,Волинська, , , ,місто,"
Луцьк",вул. Шевченка 13-Б,так,Магазин,0b67bf1a,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2041,48.398382,35.044602,Дніпропетровська, , , ,місто,"
Дніпро",вул. Стартова 9-А,так,Магазин,846234bd,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2042,49.106665,33.411461,Полтавська, , , ,місто,"
Кременчук",вул. Київська 66-Г,так,Магазин,026fe215,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2043,49.9249109,36.266191,Харківська, , , ,місто,Харків,проспект Гагаріна 318-В,так,Магазин,e848bbe3,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2044,51.542076,31.262766,Чернігівська,Чернігівський,Чернігівська, ,місто,Чернігів,вул. Кiльцева 1,так,АЗК,AZS1016,Підзарядка гаджетів,ПН (бізнес) на карту
2045,50.2861103,28.81108679,Житомирська,Житомирський,Глибочицька,сільська територіальна громада,село,Левків,а/д Киї-Чоп км 127+990,так,АЗК,bce398d0,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2046,49.5618937,34.4889278,Полтавська,Полтавський,Щербанівська,сільська територіальна громада,село,Горбанівка,вул. Київське шосе 31,так,АЗК,1c3a34ff,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2047,51.48216215,31.2725419,Чернігівська,Чернігівський, ,міська територіальна громада,місто,Чернігів,вул. Івана Мазепи 54-а,так,АЗК,53772ac2,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2048,50.44251282,28.66970742,Житомирська,Житомирський,Черняхівська,селищна територіальна громада,селище міського типу,Черняхів,вул. Житомирська 13А,так,АЗК,37ae6a8a,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2049,50.4665403,28.66932427,Житомирська,Житомирський,Черняхівська,селищна територіальна громада,селище міського типу,Черняхів,вул. Коростенська 99А,так,АЗК,787f71c8,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2050,46.52856012,30.7290773,Одеська,Одеський,Одеська,міська територіальна громада,місто,Одеса,вул. Головатого 157а,так,АЗК,842cb51e,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2051,50.44161935,28.66878426,Житомирська,Житомирський,Черняхівська,селищна територіальна громада,селище міського типу,Черняхів,вул. Житомирська 16,так,АЗК,f4299a1f,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2052,49.78368378,33.27402363,Полтавська,Лубенський,Хорольська,міська територіальна громада,місто,Хорол,вул. 1 Травня 8 Б,так,Аптека,2c490f83,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2053,50.28824937,28.91251785,Житомирська,Житомирський,Глибочицька,сільська територіальна громада,село,Великі Кошарища,а/д Київ-Чоп 119 км.+250 м,так,Інші заклади/громадські місця,e4d8e6cc,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2054,50.2875417,28.8933774,Житомирська,Житомирський,Глибочицька,сільська територіальна громада,село,Кмитів,вул. Лісова 3,так,Інші заклади/громадські місця,693a27ad,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2055,48.0020057,30.8061172,Миколаївська,Первомайський,Первомайська,міська територіальна громада,місто,Первомайськ,вул. Праці 12,так,Кафе/ресторан,3897664,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2056,48.039785,30.8681588,Миколаївська,Первомайський,Первомайська,міська територіальна громада,місто,Первомайськ,вул. Андрія Чернецького 108,так,Інші заклади/громадські місця,49a95d3d,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2057,48.04457605,30.85459945,Миколаївська,Первомайський,Первомайська,міська територіальна громада,місто,Первомайськ,вул. Театральна 23,так,Магазин,4f729a3b,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2058,48.04707813,30.88178013,Миколаївська,Первомайський,Первомайська,міська територіальна громада,місто,Первомайськ,вул. Толбухіна 101,так,Інші заклади/громадські місця,221487c1,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2059,48.02395159,30.85476851,Миколаївська,Первомайський,Первомайська,міська територіальна громада,місто,Первомайськ,вул. Садовського 15,так,Інші заклади/громадські місця,7d730714,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
