,y,x,Oblast,ADMIN_2,ADMIN_3,type_tg,type_np,Settlement,Address,zaryad,type,new_id,pidzariadk,primitka
81,49.287267,23.415958,Львівська, , , , , ,"м.Борислав, вул.Адама Міцкевича, 6",ні,Аптека,FR00005,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
82,49.062848,25.396718,Тернопільська, , , , , ,"м.Бучач, вул.Галицька, 46/2",ні,Аптека,FR00006,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
83,49.81681,24.137755,Львівська, , , , , ,"м.Винники, вул.Галицька, 18",ні,Аптека,FR00007,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
84,48.139332,23.02998,Закарпатська, , , , , ,"м.Виноградів, вул.Станційна, 2/1",ні,Аптека,FR00008,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
85,49.784955,23.644521,Львівська, , , , , ,"м.Городок, вул.Перемишльська, 6",ні,Аптека,FR00009,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
86,48.645265,25.73093,Тернопільська, , , , , ,"м.Заліщики, вул.Степана Бандери, 64-А",ні,Аптека,FR00010,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
87,49.667526,25.777349,Тернопільська, , , , , ,"м.Збараж, вул.Грушевського, 4",ні,Аптека,FR00011,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
88,48.92531,24.71235,Івано-Франківська, , , , , ,"м.Івано-Франківськ, вул.Дністровська, 16а",ні,Аптека,FR00012,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
89,50.113616,26.826682,Хмельницька, , , , , ,"м.Ізяслав, вул.Шевченка, 40-Б магазин Зайка",ні,Аптека,FR00013,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
90,49.041215,24.353784,Івано-Франківська, , , , , ,"м.Калуш, вул.Богдана Хмельницького, 32г",ні,Аптека,FR00014,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
91,48.682512,26.579119,Хмельницька, , , , , ,"м.Кам'янець-Подільський, вул.Драгоманова, 1",ні,Аптека,FR00015,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
92,48.702061,26.58358,Хмельницька, , , , , ,"м.Кам'янець-Подільський, вул.Хмельницьке шосе, 15/8",ні,Аптека,FR00016,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
93,48.678352,26.591961,Хмельницька, , , , , ,"м.Кам'янець-Подільський, просп.Грушевського, 42а",ні,Аптека,FR00017,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
94,48.679668,26.592845,Хмельницька, , , , , ,"м.Кам'янець-Подільський, просп.М.Грушевського, 21/9",ні,Аптека,FR00018,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
